field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2000],[1999],[2014],[2011],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,382076509470.0,358924622499.0,,286947768919.0,180478040559.0,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,382076509470.0,358924622499.0,,286947768919.0,180478040559.0,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,277022950352.0,255507863224.0,,190314986663.0,118291161291.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,105053559118.0,103416759275.0,,96632782256.0,62186879268.0,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,368176388.0,490570639.0,,454961670.0,90788109.0,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,5428990967.0,5051514186.0,,5014635822.0,3062258106.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,5428990967.0,5051514186.0,,5014633825.0,3062258106.0,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,31119351968.0,29646951606.0,,40042165207.0,27291151549.0,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,38027114182.0,38390204237.0,,28257880172.0,18254450774.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,30846278389.0,30818659885.0,,23773062725.0,13669806948.0,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,6717320889.0,1100641803.0,,18167791214.0,331883713.0,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,479129266.0,1502777267.0,,125167391.0,206116758.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,6238191623.0,-402135464.0,,18042623823.0,125766955.0,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,37084470012.0,30416524421.0,,41815686548.0,13795573903.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,5077491524.0,3705946092.0,,2432184946.0,1377557390.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,-3773705.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,32006978488.0,26710578329.0,,39387275307.0,12418016513.0,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,32006978488.0,26710578329.0,,39387275307.0,12418016513.0,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1043.0,1031.0,,725.0,349.0,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,1043.0,1031.0,,459.0,349.0,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,103018881329.0,,98573707053.0,120923827792.0,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,31733082610.0,,40258517784.0,60631276375.0,,,,,,,,,,,,,,,,,,
..Tiền__1,,31733082610.0,,35758517784.0,60631276375.0,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,4500000000.0,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,3700000000.0,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,3700000000.0,,,,,,,,,,,,,,,,,,,,,
