field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2001],[2000],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,148855212982.0,147737678529.0,204665667554.0,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,8440000.0,245000.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,148846772982.0,147737433529.0,204665667554.0,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,140732144496.0,131476516746.0,188117002388.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,8114628486.0,16260916783.0,16548665166.0,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1122629434.0,706425397.0,6587938.0,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,2707760.0,1094849.0,1239407643.0,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,2707760.0,1094849.0,1239407643.0,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1021737210.0,897734046.0,978828652.0,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,5990396979.0,9143727836.0,9738924363.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,2222415971.0,6924785449.0,4598092446.0,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,456489300.0,93349600.0,751450600.0,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,,350502253.0,98612.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,456489300.0,-257152653.0,751351988.0,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,2678905271.0,6667632796.0,5349444434.0,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,392686738.0,995978907.0,1090708609.0,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,2286218533.0,5671653889.0,4258735825.0,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,2286218533.0,5671653889.0,4258735825.0,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1116.0,2769.0,2080.0,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,97346031967.0,93050366417.0,98655753268.0,,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,7889943491.0,7935006052.0,15942053662.0,,,,,,,,,,,,,,,,,,,
..Tiền__1,2889943491.0,7935006052.0,15942053662.0,,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,5000000000.0,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,14000000000.0,18000000000.0,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,14000000000.0,18000000000.0,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,42029069225.0,39088270929.0,51045760412.0,,,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,47380174621.0,46874235088.0,58060007088.0,,,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,,,9882000.0,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-5351105396.0,-7785964159.0,-7024128676.0,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,33392935457.0,28027089436.0,31667939194.0,,,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,33392935457.0,28027089436.0,31667939194.0,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,34083794.0,,,,,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,34083794.0,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,5228207078.0,2786426007.0,2403081931.0,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
